,IN_10Y,IN_repo_proxy
2023-02-13,7.48,5.98
2023-02-14,7.48,5.98
2023-02-15,7.46,5.96
2023-02-16,7.45,5.95
2023-02-17,7.51,6.01
2023-02-20,7.49,5.99
2023-02-21,7.5,6.0
2023-02-22,7.54,6.04
2023-02-23,7.51,6.01
2023-02-24,7.52,6.02
2023-02-27,7.56,6.06
2023-02-28,7.57,6.07
2023-03-01,7.55,6.05
2023-03-02,7.55,6.05
2023-03-03,7.54,6.04
2023-03-06,7.54,6.04
2023-03-08,7.59,6.09
2023-03-09,7.57,6.07
2023-03-10,7.56,6.06
2023-03-13,7.51,6.01
2023-03-14,7.51,6.01
2023-03-15,7.49,5.99
2023-03-16,7.48,5.98
2023-03-17,7.48,5.98
2023-03-20,7.46,5.96
2023-03-21,7.48,5.98
2023-03-23,7.47,5.97
2023-03-24,7.45,5.95
2023-03-27,7.43,5.93
2023-03-28,7.45,5.95
2023-03-29,7.42,5.92
2023-03-31,7.44,5.94
2023-04-03,7.44,5.94
2023-04-05,7.41,5.91
2023-04-06,7.35,5.85
2023-04-10,7.35,5.85
2023-04-11,7.34,5.84
2023-04-12,7.32,5.82
2023-04-13,7.35,5.85
2023-04-17,7.37,5.87
2023-04-18,7.33,5.83
2023-04-19,7.34,5.84
2023-04-20,7.33,5.83
2023-04-21,7.29,5.79
2023-04-24,7.24,5.74
2023-04-25,7.23,5.73
2023-04-26,7.24,5.74
2023-04-27,7.22,5.72
2023-04-28,7.24,5.74
2023-05-02,7.24,5.74
2023-05-03,7.14,5.64
2023-05-04,7.14,5.64
2023-05-08,7.17,5.67
2023-05-09,7.17,5.67
2023-05-10,7.16,5.66
2023-05-11,7.15,5.65
2023-05-12,7.12,5.62
2023-05-15,7.15,5.65
2023-05-16,7.12,5.62
2023-05-17,7.13,5.63
2023-05-18,7.14,5.64
2023-05-19,7.15,5.65
2023-05-22,7.13,5.63
2023-05-23,7.16,5.66
2023-05-24,7.13,5.63
2023-05-25,7.15,5.65
2023-05-26,7.14,5.64
2023-05-29,7.21,5.71
2023-05-30,7.2,5.7
2023-05-31,7.18,5.68
2023-06-01,7.17,5.67
2023-06-02,7.17,5.67
2023-06-05,7.11,5.61
2023-06-06,7.09,5.59
2023-06-07,7.09,5.59
2023-06-08,7.12,5.62
2023-06-09,7.15,5.65
2023-06-12,7.13,5.63
2023-06-13,7.11,5.61
2023-06-14,7.12,5.62
2023-06-15,7.14,5.64
2023-06-16,7.14,5.64
2023-06-19,7.17,5.67
2023-06-20,7.18,5.68
2023-06-21,7.19,5.69
2023-06-22,7.21,5.71
2023-06-23,7.2,5.7
2023-06-26,7.19,5.69
2023-06-27,7.18,5.68
2023-06-28,7.17,5.67
2023-06-30,7.22,5.72
2023-07-03,7.23,5.73
2023-07-04,7.23,5.73
2023-07-05,7.22,5.72
2023-07-06,7.27,5.77
2023-07-07,7.28,5.78
2023-07-10,7.27,5.77
2023-07-11,7.21,5.71
2023-07-12,7.24,5.74
2023-07-13,7.19,5.69
2023-07-14,7.21,5.71
2023-07-17,7.2,5.7
2023-07-18,7.18,5.68
2023-07-19,7.19,5.69
2023-07-20,7.2,5.7
2023-07-21,7.2,5.7
2023-07-24,7.17,5.67
2023-07-25,7.21,5.71
2023-07-26,7.2,5.7
2023-07-27,7.22,5.72
2023-07-28,7.27,5.77
2023-07-31,7.29,5.79
2023-08-01,7.28,5.78
2023-08-02,7.27,5.77
2023-08-03,7.31,5.81
2023-08-04,7.32,5.82
2023-08-07,7.33,5.83
2023-08-08,7.29,5.79
2023-08-09,7.3,5.8
2023-08-10,7.28,5.78
2023-08-11,7.31,5.81
2023-08-14,7.31,5.81
2023-08-17,7.36,5.86
2023-08-18,7.32,5.82
2023-08-21,7.31,5.81
2023-08-22,7.32,5.82
2023-08-23,7.3,5.8
2023-08-24,7.3,5.8
2023-08-25,7.31,5.81
2023-08-28,7.28,5.78
2023-08-29,7.28,5.78
2023-08-30,7.28,5.78
2023-08-31,7.26,5.76
2023-09-01,7.27,5.77
2023-09-04,7.3,5.8
2023-09-05,7.3,5.8
2023-09-06,7.31,5.81
2023-09-07,7.31,5.81
2023-09-08,7.3,5.8
2023-09-11,7.34,5.84
2023-09-12,7.34,5.84
2023-09-13,7.31,5.81
2023-09-14,7.23,5.73
2023-09-15,7.29,5.79
2023-09-18,7.29,5.79
2023-09-20,7.29,5.79
2023-09-21,7.28,5.78
2023-09-22,7.29,5.79
2023-09-25,7.29,5.79
2023-09-26,7.29,5.79
2023-09-27,7.31,5.81
2023-09-28,7.38,5.88
2023-09-29,7.35,5.85
2023-10-03,7.36,5.86
2023-10-04,7.36,5.86
2023-10-05,7.34,5.84
2023-10-06,7.47,5.97
2023-10-09,7.52,6.02
2023-10-10,7.48,5.98
2023-10-11,7.44,5.94
2023-10-12,7.43,5.93
2023-10-13,7.45,5.95
2023-10-16,7.48,5.98
2023-10-17,7.47,5.97
2023-10-18,7.5,6.0
2023-10-19,7.51,6.01
2023-10-20,7.51,6.01
2023-10-23,7.54,6.04
2023-10-25,7.5,6.0
2023-10-26,7.52,6.02
2023-10-27,7.51,6.01
2023-10-30,7.5,6.0
2023-10-31,7.48,5.98
2023-11-01,7.49,5.99
2023-11-02,7.45,5.95
2023-11-03,7.45,5.95
2023-11-06,7.43,5.93
2023-11-07,7.41,5.91
2023-11-08,7.4,5.9
2023-11-09,7.4,5.9
2023-11-10,7.43,5.93
2023-11-13,7.41,5.91
2023-11-15,7.35,5.85
2023-11-16,7.36,5.86
2023-11-17,7.34,5.84
2023-11-20,7.38,5.88
2023-11-21,7.39,5.89
2023-11-22,7.37,5.87
2023-11-23,7.38,5.88
2023-11-24,7.39,5.89
2023-11-28,7.43,5.93
2023-11-29,7.42,5.92
2023-11-30,7.45,5.95
2023-12-01,7.46,5.96
2023-12-04,7.4,5.9
2023-12-05,7.39,5.89
2023-12-06,7.38,5.88
2023-12-07,7.37,5.87
2023-12-08,7.38,5.88
2023-12-11,7.41,5.91
