date,JPY_lev_net,JPY_lev_pct_oi,JPY_lev_percentile,JPY_lev_long,JPY_lev_short,JPY_assetmgr_net,JPY_assetmgr_pct_oi,JPY_assetmgr_percentile,JPY_assetmgr_long,JPY_assetmgr_short,JPY_net_pos,JPY_net_pct_oi,JPY_percentile,EUR_lev_net,EUR_lev_pct_oi,EUR_lev_percentile,EUR_lev_long,EUR_lev_short,EUR_assetmgr_net,EUR_assetmgr_pct_oi,EUR_assetmgr_percentile,EUR_assetmgr_long,EUR_assetmgr_short,EUR_net_pos,EUR_net_pct_oi,EUR_percentile
2023-01-03,-18514,-10.727156845703691,74.10714285714286,26931,45445,-15354,-8.896228054927864,25.892857142857146,54246,69600,-18514,-10.727156845703691,74.10714285714286,-5689,-0.7989831889105795,12.5,71489,77178,349543,49.09104953442973,34.82142857142857,432022,82479,-5689,-0.7989831889105795,12.5
2023-01-10,-5080,-2.890551651540584,83.03571428571429,29570,34650,-11449,-6.514552334348061,27.67857142857143,55013,66462,-5080,-2.890551651540584,83.03571428571429,-6374,-0.854236942866371,10.714285714285714,82961,89335,361608,48.462333297148206,42.857142857142854,438725,77117,-6374,-0.854236942866371,10.714285714285714
2023-01-17,-5484,-3.1007225972792347,82.14285714285714,31349,36833,2208,1.2484309800861688,35.714285714285715,55978,53770,-5484,-3.1007225972792347,82.14285714285714,-13887,-1.8419848391396907,6.25,71486,85373,382636,50.75320162087238,58.92857142857143,459449,76813,-13887,-1.8419848391396907,6.25
2023-01-24,-10934,-6.30852579895108,78.57142857142857,25334,36268,10642,6.140052272950191,37.5,60445,49803,-10934,-6.30852579895108,78.57142857142857,-10864,-1.3971750417004793,8.035714285714286,77468,88332,402077,51.70949459147677,76.78571428571429,476921,74844,-10864,-1.3971750417004793,8.035714285714286
2023-01-31,-11137,-6.607926901625727,77.67857142857143,20971,32108,13545,8.036667853328588,40.17857142857143,59887,46342,-11137,-6.607926901625727,77.67857142857143,5056,0.6345875306562508,22.321428571428573,85496,80440,411361,51.63064897117998,86.60714285714286,487012,75651,5056,0.6345875306562508,22.321428571428573
2023-02-07,-17726,-10.803991003784994,75.0,13576,31302,19175,11.687156013628412,47.32142857142857,66337,47162,-17726,-10.803991003784994,75.0,15575,1.9935055875753722,53.57142857142857,73795,58220,410873,52.58925337296026,84.82142857142857,489504,78631,15575,1.9935055875753722,53.57142857142857
2023-02-14,-13661,-7.8082935612014515,75.89285714285714,20989,34650,21189,12.111114286530821,49.107142857142854,72037,50848,-13661,-7.8082935612014515,75.89285714285714,21408,2.7145706558056792,66.07142857142857,79092,57684,412837,52.34843076564131,89.28571428571429,485694,72857,21408,2.7145706558056792,66.07142857142857
2023-02-21,-7088,-3.8087049973132725,79.46428571428571,30808,37896,1088,0.5846319183234819,34.82142857142857,71320,70232,-7088,-3.8087049973132725,79.46428571428571,23229,2.940759439826408,72.32142857142857,79329,56100,407928,51.643123542533345,82.14285714285714,484939,77011,23229,2.940759439826408,72.32142857142857
2023-02-28,-25842,-12.917964278394578,70.53571428571429,25965,51807,-8190,-4.094037901093243,29.464285714285715,72408,80598,-25842,-12.917964278394578,70.53571428571429,26927,3.3492834869266375,79.46428571428571,84939,58012,405646,50.45580455816997,81.25,488209,82563,26927,3.3492834869266375,79.46428571428571
2023-03-07,-39457,-18.673715197092243,56.25,19427,58884,75,0.03549506145378307,33.92857142857143,79299,79224,-39457,-18.673715197092243,56.25,15887,1.9349448333063357,54.46428571428571,75936,60049,409845,49.91675364804149,83.03571428571429,490588,80743,15887,1.9349448333063357,54.46428571428571
