date,JPY_lev_net,JPY_lev_pct_oi,JPY_lev_percentile,JPY_lev_long,JPY_lev_short,JPY_assetmgr_net,JPY_assetmgr_pct_oi,JPY_assetmgr_percentile,JPY_assetmgr_long,JPY_assetmgr_short,EUR_lev_net,EUR_lev_pct_oi,EUR_lev_percentile,EUR_lev_long,EUR_lev_short,EUR_assetmgr_net,EUR_assetmgr_pct_oi,EUR_assetmgr_percentile,EUR_assetmgr_long,EUR_assetmgr_short
2023-01-03,-18514,-10.727156845703691,75.88235294117646,26931,45445,-15354,-8.896228054927864,37.64705882352941,54246,69600,-5689,-0.7989831889105795,24.705882352941178,71489,77178,349543,49.09104953442973,52.94117647058824,432022,82479
2023-01-10,-5080,-2.890551651540584,85.29411764705883,29570,34650,-11449,-6.514552334348061,38.82352941176471,55013,66462,-6374,-0.854236942866371,22.941176470588236,82961,89335,361608,48.462333297148206,58.82352941176471,438725,77117
2023-01-17,-5484,-3.1007225972792347,84.11764705882354,31349,36833,2208,1.2484309800861688,50.0,55978,53770,-13887,-1.8419848391396907,14.705882352941178,71486,85373,382636,50.75320162087238,72.94117647058823,459449,76813
2023-01-24,-10934,-6.30852579895108,81.17647058823529,25334,36268,10642,6.140052272950191,54.11764705882353,60445,49803,-10864,-1.3971750417004793,17.058823529411764,77468,88332,402077,51.70949459147677,84.70588235294117,476921,74844
2023-01-31,-11137,-6.607926901625727,80.58823529411765,20971,32108,13545,8.036667853328588,55.88235294117647,59887,46342,5056,0.6345875306562508,38.23529411764706,85496,80440,411361,51.63064897117998,91.17647058823529,487012,75651
2023-02-07,-17726,-10.803991003784994,76.47058823529412,13576,31302,19175,11.687156013628412,61.1764705882353,66337,47162,15575,1.9935055875753722,66.47058823529412,73795,58220,410873,52.58925337296026,90.0,489504,78631
2023-02-14,-13661,-7.8082935612014515,78.82352941176471,20989,34650,21189,12.111114286530821,63.52941176470588,72037,50848,21408,2.7145706558056792,76.47058823529412,79092,57684,412837,52.34843076564131,92.94117647058823,485694,72857
2023-02-21,-7088,-3.8087049973132725,82.35294117647058,30808,37896,1088,0.5846319183234819,48.8235294117647,71320,70232,23229,2.940759439826408,80.58823529411765,79329,56100,407928,51.643123542533345,88.23529411764706,484939,77011
2023-02-28,-25842,-12.917964278394578,70.58823529411765,25965,51807,-8190,-4.094037901093243,41.17647058823529,72408,80598,26927,3.3492834869266375,85.88235294117646,84939,58012,405646,50.45580455816997,87.6470588235294,488209,82563
2023-03-07,-39457,-18.673715197092243,57.05882352941176,19427,58884,75,0.03549506145378307,48.23529411764706,79299,79224,15887,1.9349448333063357,67.64705882352942,75936,60049,409845,49.91675364804149,88.8235294117647,490588,80743
2023-03-14,-44541,-24.775005284177503,44.70588235294118,16306,60847,7760,4.316338676841953,52.352941176470594,76079,68319,7645,1.0256196983376777,46.470588235294116,64007,56362,400687,53.754412042881505,84.11764705882354,484418,83731
2023-03-21,-51277,-30.307705038182377,34.705882352941174,10622,61899,15975,9.442159018370097,57.05882352941176,71320,55345,13341,1.809103692925633,58.82352941176471,61547,48206,398197,53.997426220816145,81.76470588235294,479791,81594
2023-03-28,-42484,-25.068299965186196,47.647058823529406,14688,57172,16240,9.582647383359001,57.647058823529406,72482,56242,3013,0.41132768878343656,32.94117647058823,58664,55651,403304,55.0581155649237,85.29411764705883,483631,80327
2023-04-04,-44447,-24.854608897935446,45.294117647058826,15053,59500,22605,12.640637931420134,64.70588235294117,73899,51294,3485,0.46647347392232585,33.52941176470588,66748,63263,411188,55.03824814782591,90.58823529411765,485717,74529
2023-04-11,-43574,-24.64286118243205,46.470588235294116,13815,57389,23846,13.485878454038524,65.29411764705883,74130,50284,7626,1.0041622829483343,45.88235294117647,69139,61513,421745,55.53375583819109,95.88235294117648,496317,74572
2023-04-18,-43707,-24.622690936132095,45.88235294117647,15253,58960,24445,13.77128789287183,65.88235294117646,75302,50857,8324,1.0861537578258136,47.647058823529406,65844,57520,432282,56.40614112691714,97.6470588235294,505959,73677
2023-04-25,-40435,-21.97064784477372,52.352941176470594,16108,56543,18885,10.261300471090681,60.588235294117645,77569,58684,13376,1.7306652244456464,59.411764705882355,69260,55884,436020,56.41482140870146,98.82352941176471,510675,74655
2023-05-02,-40166,-19.786596780232124,55.294117647058826,26556,66722,12684,6.248398983231197,55.294117647058826,79011,66327,14789,1.897344051892469,64.11764705882354,70548,55759,435685,55.89589176068499,98.23529411764706,511857,76172
